SchoolDepartment,CourseTitle,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour
Quality Assurance and Risk Management,Jurisdiction of the Year OurFamily/Press Release,kfoulstone0@instagram.com,"Internal and External Communication, News Writing and Editing, Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"News and Media Communication, Graphic Design",14-10-2019,00:00:00
Quality Assurance and Risk Management,Census Website Updates,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,16-10-2019,00:00:00
Quality Assurance and Risk Management,New Business Cards,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",17-10-2019,00:00:00
Quality Assurance and Risk Management,Engage Pierce County Photos,kfoulstone0@instagram.com,Technical Writing,Fatima Zahra El Idrissi,Video Editing,17-10-2019,00:00:00
Quality Assurance and Risk Management,Mandatory Recount Press Release,kfoulstone0@instagram.com,"Internal and External Communication, Public Relations",Fatima Zahra El Idrissi,News and Media Communication,27-11-2019,00:00:00
Quality Assurance and Risk Management,POA Training Videos,kfoulstone0@instagram.com,"Social Media Strategy, Video Editing and Production, Website Programming",Fatima Zahra El Idrissi,"Video Editing and Production, Website Programming, Social Media Strategy",27-11-2019,16:33:00
Quality Assurance and Risk Management,Updated Business Cards,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",27-11-2019,16:35:00
Quality Assurance and Risk Management,Military Benefits Brochure Updates,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design, Proofreading and Quality Assurance",27-11-2019,16:40:00
Social Impact Engineering,ACAC Proclamation Post,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,27-11-2019,16:45:00
Quality Assurance and Risk Management,In-Service Day Closure Communications,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Social Media Strategy, Website Programming, Technical Writing",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design, Social Media Strategy, Video Editing and Production",27-11-2019,16:48:00
Quality Assurance and Risk Management,Website RCW Addition,kfoulstone0@instagram.com,"Website Programming, Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Website Programming",27-11-2019,16:50:00
Quality Assurance and Risk Management,African American Census Banners,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Social Media Strategy, Website Programming",Fatima Zahra El Idrissi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation, Social Media Strategy, Website Programming",27-11-2019,16:55:00
Quality Assurance and Risk Management,Add 15-minute Census Training Video to Website,kfoulstone0@instagram.com,"Video Editing and Production, Website Programming",Fatima Zahra El Idrissi,Website Programming,27-11-2019,16:56:00
Quality Assurance and Risk Management,Content for Spec. Populations Census Webpages,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,27-11-2019,16:57:00
Quality Assurance and Risk Management,Change Primary Language Text to actual Primary Language,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,27-11-2019,16:58:00
Ethics and Professional Conduct,Tacoma Pro Bono Night Award on Social,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,"Social Media Strategy, Writing and Editing",27-11-2019,17:00:00
Quality Assurance and Risk Management,Animal Subagent Website Updates,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,27-11-2019,17:04:00
Quality Assurance and Risk Management,Jurisdiction of the Year OurFamily/Press Release,kfoulstone0@instagram.com,"Internal and External Communication, News Writing and Editing, Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"News and Media Communication, Graphic Design",27-11-2019,17:07:00
Quality Assurance and Risk Management,Convert Census Banners into Social Optimized Sizes,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Social Media Strategy",Fatima Zahra El Idrissi,Graphic Design,27-11-2019,17:08:00
Technical Communication and Media,Q3 Performance Measures for Social,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,27-11-2019,17:09:00
Quality Assurance and Risk Management,Licensing In-Service Day PPT and Videos,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Video Editing and Production",Fatima Zahra El Idrissi,Video Editing and Production,27-11-2019,17:10:00
Urban Planning and Public Infrastructure,Promote PPW Graphic & Web Designer Position on Social,kfoulstone0@instagram.com,"Social Media Strategy, Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Social Media Strategy, Graphic Design",27-11-2019,17:11:00
Legal and Compliance Engineering,Therapeutic Court Program 25th Anniversary Social Post,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,27-11-2019,17:14:00
Quality Assurance and Risk Management,Census Website Roster Edits,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,27-11-2019,17:15:00
Quality Assurance and Risk Management,Census Website Updates,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,27-11-2019,17:18:00
Quality Assurance and Risk Management,Engage Pierce County Photos,kfoulstone0@instagram.com,Technical Writing,Fatima Zahra El Idrissi,Video Editing,27-11-2019,17:19:00
Quality Assurance and Risk Management,New Business Cards,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",27-11-2019,17:20:00
Quality Assurance and Risk Management,Mandatory Recount Press Release,kfoulstone0@instagram.com,"Internal and External Communication, Public Relations",Fatima Zahra El Idrissi,News and Media Communication,27-11-2019,17:59:00
Governance and Policy Studies,Promote Performance Audit Committee Vacancy,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,08-09-2020,21:45:00
Quality Assurance and Risk Management,Notice of Canvassing Board meeting,stonsley1@nih.gov,News Writing and Editing,Amina Benkirane,"Proofreading and Quality Assurance, Website Programming, News and Media Communication",23-10-2018,22:24:00
Quality Assurance and Risk Management,Extra Hire Recruitment Postcard,stonsley1@nih.gov,"Printed Material (Posters, Brochures, Reports)",Amina Benkirane,"Graphic Design, Writing and Editing, Technical Documentation, Video Editing",11-01-2019,18:36:00
Quality Assurance and Risk Management,Recording Fee Website Edits,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,11-01-2019,18:37:00
Quality Assurance and Risk Management,Election at a Glance - Feb. 2019 Special Election,stonsley1@nih.gov,"Printed Material (Posters, Brochures, Reports)",Amina Benkirane,"Graphic Design, Website Programming, Social Media Strategy",11-01-2019,18:39:00
Quality Assurance and Risk Management,Pet Agent Roster Web,stonsley1@nih.gov,Website Programming,Amina Benkirane,"Proofreading and Quality Assurance, Website Programming, Graphic Design",11-01-2019,18:40:00
Quality Assurance and Risk Management,eRecording 1/2 Sheet Flyer,stonsley1@nih.gov,"Printed Material (Posters, Brochures, Reports)",Amina Benkirane,"Technical Documentation, Graphic Design, Writing and Editing",11-01-2019,18:43:00
Quality Assurance and Risk Management,Restrictive Covenants Brochure,stonsley1@nih.gov,"Printed Material (Posters, Brochures, Reports)",Amina Benkirane,"Website Programming, Technical Documentation, Graphic Design",11-01-2019,18:45:00
Quality Assurance and Risk Management,Covenant Search Instructions Brochure,stonsley1@nih.gov,"Printed Material (Posters, Brochures, Reports)",Amina Benkirane,"Technical Documentation, Graphic Design, Website Programming",11-01-2019,18:49:00
Quality Assurance and Risk Management,Transition piercecountypets.org to Civic Page,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,11-01-2019,18:51:00
Governance and Policy Studies,Opioid Task Force Webpage Edits,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,11-01-2019,19:03:00
Engineering Leadership and Strategy,Inside Pierce County Video Logo,stonsley1@nih.gov,Technical Writing,Amina Benkirane,"Video Editing and Production, Proofreading and Quality Assurance, Graphic Design",11-01-2019,19:15:00
Safety Engineering and Crisis Management,Review Marketing Articles,stonsley1@nih.gov,Technical Writing,Amina Benkirane,Social Media Strategy,11-01-2019,19:22:00
Governance and Policy Studies,2018 Council Communications Infographic,stonsley1@nih.gov,"Graphic Design/Marketing (Posters, Brochures, Reports)",Amina Benkirane,"Social Media Strategy, Graphic Design",11-01-2019,19:24:00
Administrative and Procedural Engineering,Create Facebook Page for District COourt,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,"Graphic Design, Social Media Strategy",11-01-2019,20:43:00
Administrative and Procedural Engineering,New Web Banner,stonsley1@nih.gov,Website Programming,Amina Benkirane,"Graphic Design, Website Programming",14-01-2019,18:11:00
Quality Assurance and Risk Management,Roster Application Edit,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,14-01-2019,21:46:00
Quality Assurance and Risk Management,Upload 2019 Voting in WA Translated Videos to YouTube,stonsley1@nih.gov,Video Editing and Production,Amina Benkirane,Video Editing and Production,17-01-2019,17:10:00
Quality Assurance and Risk Management,Pet Agent Removal from Website,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,17-01-2019,21:29:00
Administrative and Procedural Engineering,Social Post - Foley Retirement,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,Social Media Strategy,18-01-2019,18:31:00
Quality Assurance and Risk Management,Secondhand/Pawn Application,stonsley1@nih.gov,"Graphic Design/Marketing (Posters, Brochures, Reports)",Amina Benkirane,"Technical Documentation, Graphic Design, Writing and Editing, Proofreading and Quality Assurance",28-01-2019,21:03:00
Quality Assurance and Risk Management,Add Graphic to Census Webpage,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,29-01-2019,21:48:00
Quality Assurance and Risk Management,Census Website Updates,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,31-01-2019,22:08:00
Quality Assurance and Risk Management,Census Event - eFlyer Invite Design and Send,stonsley1@nih.gov,"Graphic Design/Marketing (Posters, Brochures, Reports)",Amina Benkirane,Graphic Design,31-01-2019,22:10:00
Technical Communication and Media,Update Cover Photos and Profile Pictures,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,"Social Media Strategy, Graphic Design",01-02-2019,17:46:00
Quality Assurance and Risk Management,Pet Agent Roster Website Change,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,05-02-2019,20:19:00
Quality Assurance and Risk Management,Pet Agent Roster Contract Update,stonsley1@nih.gov,Website Programming,Amina Benkirane,"Website Programming, Technical Documentation, Proofreading and Quality Assurance",05-02-2019,20:30:00
Partnerships and External Collaboration,Measles Outbreak Messaging,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,Social Media Strategy,06-02-2019,18:39:00
Quality Assurance and Risk Management,Pet Agent Roster Web Edits,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,07-02-2019,16:58:00
Quality Assurance and Risk Management,TV Screen Slide - Holiday Closures 2019,stonsley1@nih.gov,"Graphic Design/Marketing (Posters, Brochures, Reports)",Amina Benkirane,Graphic Design,07-02-2019,22:48:00
Quality Assurance and Risk Management,Valentine's for Voters,stonsley1@nih.gov,"Graphic Design/Marketing (Posters, Brochures, Reports)",Amina Benkirane,"Social Media Strategy, Graphic Design",13-02-2019,01:18:00
Quality Assurance and Risk Management,Promote Local 2020 Census Jobs,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,"Social Media Strategy, Website Programming",13-02-2019,22:42:00
Quality Assurance and Risk Management,Film and Edit Video for Election Extra-Hires,stonsley1@nih.gov,Video Editing and Production,Amina Benkirane,"Video Editing and Production, Proofreading and Quality Assurance, Graphic Design",13-02-2019,22:52:00
Safety Engineering and Crisis Management,EM Social Post for Valentine's Day,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,Social Media Strategy,13-02-2019,23:13:00
Governance and Policy Studies,Create Social Graphic for Council Meetings,stonsley1@nih.gov,"Graphic Design/Marketing (Posters, Brochures, Reports)",Amina Benkirane,"Social Media Strategy, Graphic Design, Writing and Editing",19-02-2019,17:31:00
Quality Assurance and Risk Management,Schedule Census Provided Posts/Images on Social,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,Social Media Strategy,19-02-2019,19:58:00
Quality Assurance and Risk Management,Add New Pet Agent to Website and Remove Late Fees,stonsley1@nih.gov,Website Programming,Amina Benkirane,"Writing and Editing, Website Programming",21-02-2019,22:51:00
Quality Assurance and Risk Management,Update Contact on Website,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,25-02-2019,21:17:00
Quality Assurance and Risk Management,Fix Links on new piercecountypets.org Portal,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,25-02-2019,21:35:00
Quality Assurance and Risk Management,Send Census Event Reminder Email 2,stonsley1@nih.gov,Technical Writing,Amina Benkirane,Public Outreach and Engagement,25-02-2019,22:31:00
Quality Assurance and Risk Management,Send Census Event Reschedule Email,stonsley1@nih.gov,Technical Writing,Amina Benkirane,Public Outreach and Engagement,25-02-2019,22:38:00
Quality Assurance and Risk Management,Send Corrected Census Event Email,stonsley1@nih.gov,Technical Writing,Amina Benkirane,Public Outreach and Engagement,25-02-2019,22:44:00
Quality Assurance and Risk Management,Redesign Election Webpages,unvalid,Website Programming,"Amina Benkirane, Fatima Zahra El Idrissi","Website Programming, Graphic Design, Writing and Editing, Proofreading and Quality Assurance, Video Editing",11-01-2019,18:47:00
